Datetime,Resolution code,Offshore/onshore,Region,Grid connection type,Measured & Upscaled,Most recent forecast,Most recent P10,Most recent P90,Day Ahead 11AM forecast,Day Ahead 11AM P10,Day Ahead 11AM P90,Day-ahead 6PM forecast,Day-ahead 6PM P10,Day-ahead 6PM P90,Week-ahead forecast,Week-ahead P10,Week-ahead P90,Monitored capacity,Load factor,Decremental bid Indicator
31-01-2018 23:45,PT15M,Onshore,Flanders,Elia,23.56,20.87,9.23,32.55,28.92,16.35,40.93,28.1,15.59,40.13,21.98,3.12,40.56,53.86,0.44,''
31-01-2018 23:45,PT15M,Onshore,Wallonia,Dso,127.78,148.74,48.99,253.53,241.12,108.76,373.5,235.9,104.43,367.43,222.98,21.27,431.74,595.7,0.21,''
31-01-2018 23:45,PT15M,Onshore,Wallonia,Elia,27.48,28.88,7.58,50.19,44.67,15.9,73.45,40.34,11.97,68.72,37.64,0.59,77.88,104.5,0.26,''
31-01-2018 23:45,PT15M,Onshore,Flanders,Dso,253.76,273.97,112.39,437.42,402.28,215.81,586.09,386.99,202.7,569.77,327.71,42.36,621.12,990.66,0.26,''
31-01-2018 23:45,PT15M,Offshore,Federal,Elia,806.13,705.29,562.82,838.98,761.73,619,864.88,765.49,633.59,870.47,553.07,204.43,843.96,877.2,0.92,''
31-01-2018 23:30,PT15M,Onshore,Flanders,Dso,242,276.37,113.68,441.16,399.39,213.2,583.13,385.17,201.2,567.72,327.7,42.49,621.06,990.66,0.24,''
31-01-2018 23:30,PT15M,Onshore,Flanders,Elia,22.78,21.54,9.8,33.32,28.86,16.22,40.89,27.93,15.35,40.07,21.98,3.15,40.52,53.86,0.42,''
31-01-2018 23:30,PT15M,Offshore,Federal,Elia,788.17,713.55,573,844.6,765.58,628.01,864.94,766,638.4,869.58,552.89,204.07,843.87,877.2,0.9,''
31-01-2018 23:30,PT15M,Onshore,Wallonia,Elia,26.56,29.92,8.54,51.29,43.86,15.1,72.62,40.43,12.01,68.84,37.56,0.57,77.76,104.5,0.25,''
31-01-2018 23:30,PT15M,Onshore,Wallonia,Dso,123.46,151.07,50.35,257.08,243.36,110.99,375.7,237.81,106.36,369.3,222.84,21,431.69,595.7,0.21,''
31-01-2018 23:15,PT15M,Onshore,Wallonia,Dso,121.56,153.4,51.7,260.63,245.58,113.21,377.89,239.72,108.31,371.17,222.7,20.74,431.64,595.7,0.2,''
31-01-2018 23:15,PT15M,Onshore,Wallonia,Elia,24.39,30.95,9.51,52.39,43.05,14.3,71.8,40.51,12.05,68.97,37.47,0.55,77.64,104.5,0.23,''
31-01-2018 23:15,PT15M,Onshore,Flanders,Dso,229.79,278.76,114.95,444.89,396.49,210.61,580.16,383.34,199.69,565.67,327.7,42.62,621.01,990.66,0.23,''
31-01-2018 23:15,PT15M,Onshore,Flanders,Elia,23.05,22.2,10.36,34.09,28.81,16.1,40.86,27.75,15.11,40,21.98,3.17,40.49,53.86,0.43,''
31-01-2018 23:15,PT15M,Offshore,Federal,Elia,802.25,721.82,583.19,850.22,769.43,637.03,865.01,766.52,643.22,868.69,552.7,203.7,843.78,877.2,0.91,''
31-01-2018 23:00,PT15M,Onshore,Wallonia,Dso,144.74,155.73,53.05,264.19,247.82,115.44,380.08,241.63,110.24,373.04,222.55,20.47,431.59,595.7,0.24,''
31-01-2018 23:00,PT15M,Offshore,Federal,Elia,801.7,730.08,593.37,855.84,773.28,646.04,865.08,767.03,648.04,867.81,552.52,203.34,843.69,877.2,0.91,''
31-01-2018 23:00,PT15M,Onshore,Flanders,Elia,24.02,22.86,10.93,34.87,28.75,15.98,40.82,27.58,14.86,39.94,21.97,3.2,40.45,53.86,0.45,''
31-01-2018 23:00,PT15M,Onshore,Flanders,Dso,253.48,281.17,116.23,448.63,393.59,208,577.19,381.51,198.19,563.62,327.69,42.75,620.95,990.66,0.26,''
